reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_cleaned
7573d4f5-cc03-452c-a9a3-f47a9908b605,AJohn AWoff,https://play-lh.googleusercontent.com/a/ACg8ocLwkwHatUz8awMBNmlbG1HDWO2kBe_KfTXXP8463TC5CWzrvQ=mo,amazing,5,0,130300006,2025-11-30 06:40:58,,,130300006,amaze
9ee74553-a655-40b9-9c6e-4778b2aa39ae,Edrik Emerson,https://play-lh.googleusercontent.com/a-/ALV-UjV2LuSj1j7cxbH11I2vdv_1CUH3WbrGER3ZzetzkCcPlr56DW5I,bad bad game and greedy developer.,1,0,130300006,2025-11-30 06:37:09,,,130300006,bad bad game greedy developer
e6a7c0ab-9df8-4d79-9243-41d4df3d5ee9,emmett mechare,https://play-lh.googleusercontent.com/a/ACg8ocKXlmktewn7CT-UzFAADsiUVVaoaVK-N2ICaIg5CCqf-NCbgg=mo,I love this game,5,0,130300006,2025-11-30 06:33:49,,,130300006,love game
0ef8e32d-ac55-469e-b050-aa55813cb328,Stevan Petković,https://play-lh.googleusercontent.com/a-/ALV-UjUOmhHvujAusBm-tc-AjpQGPVQWi4iQC_aSSGN4Xw2NfnhxXW4E,Have been getting bots for weeks. But last couple of days it was chaotic. So many bots who don't let you win. Catastrophe,1,15,130300006,2025-11-30 06:33:48,,,130300006,get bot week last couple day chaotic many bot dont let win catastrophe
22f9101b-4368-49eb-a3e7-850e0677f2d3,Logan Wagner,https://play-lh.googleusercontent.com/a-/ALV-UjW52j7ABgCEEbXj6dpaU1vbPrWacPNdL2-tcbRR2-U22KtyE7sB,This games good but megaknight needs removed he's very annoying and I don't care I'm you refund players who bought his evo GET RID OF MEGAKNIGHT,4,0,120169018,2025-11-30 06:32:52,,,120169018,game good megaknight need remove he annoy dont care refund player buy evo get rid megaknight
a5c3afe5-1ca3-4f7a-b474-0462868496ba,Cyrus Williams,https://play-lh.googleusercontent.com/a/ACg8ocLUcAtrja9GCSR75vJDeIa5Q7Ucm3KQ5HYFkOBX2GJbvToPKQ=mo,"awesome game and it let's my anger out, u should definitely get Clash Royale and there other games",5,0,130300006,2025-11-30 06:29:57,,,130300006,awesome game let anger definitely get clash royale game
a5408c20-029a-452a-9cdc-fe3da5024fb7,Chumnith Prum,https://play-lh.googleusercontent.com/a-/ALV-UjU8W_12Dqsfc9OfBJb5Y9Maq1-QnfFjtTwGauDhU87V8kH1UA3Z,no just no WHY SUPERCEL,1,0,130300006,2025-11-30 06:29:34,,,130300006,supercel
e6304507-fbae-4623-b38a-9b92547efd41,Will Leckie,https://play-lh.googleusercontent.com/a-/ALV-UjXXSDa6DdqXxgnrkV69Ts1vFGkweyVF488FZJoprlCxTxXeN-TZ,w game,5,0,130300006,2025-11-30 06:29:13,,,130300006,game
98ea59d7-bc9c-46b3-b34c-dc3113cc18c2,Merrick,https://play-lh.googleusercontent.com/a-/ALV-UjUOYPh9iKFwn-CV12NlUpAy6igj3mmpW7pGIkXn9ghs_Pg5THsX,P2W if you want to keep up with the metas and new updates. It makes it frustrating for F2P players because when you finally max out a deck either the meta changes or a new card level comes out. Overall very fun game though,4,0,130300006,2025-11-30 06:27:26,,,130300006,want keep metas new update make frustrate player finally max deck either meta change new card level come overall fun game though
2c4f0d5c-e29d-4966-9fac-ce775f52d05e,Jack Simpson,https://play-lh.googleusercontent.com/a-/ALV-UjUvUfh5mm9_5RcnoVr2ibHxGaclxIxasQYgmuYLGITiC2JqLVY,completely pay to win,1,0,120169018,2025-11-30 06:23:45,,,120169018,completely pay win
f4b2cf10-387a-4235-ab81-7f448cabe99b,Potato Potatototoato,https://play-lh.googleusercontent.com/a/ACg8ocLSiJ3chxCJZ8J5X1qVGcVSIYQ_E8bBAcWbjXki0W38H3Rdqw=mo,Amazing bc its just sigma,5,0,130300006,2025-11-30 06:21:50,,,130300006,amaze sigma
6569dbc0-b9c8-4ed1-82fd-f32a6480d0ef,Wow Pow,https://play-lh.googleusercontent.com/a/ACg8ocLKGJ6xq-Zo4H_Bha6fi-o0XJr4ED_fT8XlNPgsCPPuELuR9Q=mo,Game is honestly bad now they stopped caring about balance when meta knight was released they acted like card evolution was a good idea and allowed it for a select few cards completely breaking other peoples decks Game used to be good now it's just straight garbage they don't care about balancing,1,0,,2025-11-30 06:17:11,,,,game honestly bad stop care balance meta knight release act like card evolution good idea allow select card completely break people deck game use good straight garbage dont care balance
e5f6712f-8ba9-46c9-9edb-6a05c590fafe,lucas,https://play-lh.googleusercontent.com/a/ACg8ocIWVgAS5AnwLLiZ1_5c_IcP7iL0d7JWzQAhy7JDBgrsePMA6A=mo,"amazing game, great animation and characters its just so fun",5,1,130300006,2025-11-30 06:16:47,,,130300006,amazing game great animation character fun
b64370f3-ebea-4380-ab0a-f3cf5032cf37,niu niu,https://play-lh.googleusercontent.com/a/ACg8ocLVecUaafGlSMrHsmUl8xb7bHLcSTe4sONPwYi7RawRWjIQ=mo,Three word I would say about this game. 1.pay to win 2.toxic 3.So ragebating This game started of fun but while ur in the mid ladder you will see megakight everywhere HATE THIS GAME IM QUITING.,1,0,130300006,2025-11-30 06:16:44,,,130300006,three word would say game pay win toxic ragebating game start fun mid ladder see megakight everywhere hate game quit
224aca84-cdec-422b-8a09-389b63aa3298,Prem,https://play-lh.googleusercontent.com/a-/ALV-UjWOgAcZlJKapMaTTLbzzokMm9aer5uube9CjEaO18SDlzRdyT8,The new update isn't working for me. Idk why but the heros are coming up. But beside that this game is amazing,5,0,130300006,2025-11-30 06:13:59,,,130300006,new update isnt work idk hero come beside game amaze
ef1eda52-7b86-4d46-962b-cffe7167d7aa,Justin Shepherd,https://play-lh.googleusercontent.com/a/ACg8ocKXdi5UmkqiGlxchllobl_oNfH24U95wTdybHoGxzbtjUQwfls=mo,the matchmaking is just unfair,1,0,130300006,2025-11-30 06:13:13,,,130300006,matchmaking unfair
b978061f-b0f5-4830-a955-29a4830d00a6,Roddric Gunter,https://play-lh.googleusercontent.com/a/ACg8ocJn4pqYoooPKlXoGNf0_acEOOkaWbsW4mYqCqXEsyHxySvesQ=mo,P2W now,1,0,130300006,2025-11-30 06:09:20,,,130300006,
26ca9763-5e10-4de2-9564-5e3b2b411f71,scott lang,https://play-lh.googleusercontent.com/a-/ALV-UjW5J6u1n7gSVi2LzDavzat2MGKWmOWBPcPbYDiDP8EUO_idOT3S,best supercell game ever,5,0,130300006,2025-11-30 06:09:10,,,130300006,best supercell game ever
5e32d33c-0807-4614-a2e1-99f80a383aa2,Preston Germolus,https://play-lh.googleusercontent.com/a/ACg8ocJG9TlPupQ1ZCTe_w0jjYa49saZVACZ01KTCnCi6L-0IstKfg=mo,I love how strategic you have to be to win,5,0,130300006,2025-11-30 06:08:29,,,130300006,love strategic win
